Time,Speed
572936,25.78
573784,25.90
574632,25.90
575460,26.53
576280,26.79
577096,26.92
577920,26.66
578768,25.90
579616,25.90
580444,26.53
581248,27.32
582064,26.92
582896,26.40
583740,26.2
584576,26.27
585408,26.40
586208,27.46
587008,27.46
587840,26.40
588684,26.2
589512,26.53
590328,26.92
591128,27.46
591928,27.46
592764,26.27
593596,26.40
594420,26.66
595252,26.40
596040,27.87
596856,26.92
597672,26.92
598504,26.40
599328,26.66
600136,27.18
600940,27.32
601736,27.59
602552,26.92
603384,26.40
604216,26.40
605028,27.5
605832,27.32
606632,27.46
607448,26.92
608280,26.40
609116,26.27
609928,27.5
610732,27.32
611532,27.46
612348,26.92
613164,26.92
614000,26.27
614808,27.18
615612,27.32
616412,27.46
617228,26.92
618060,26.40
618876,26.92
619700,26.66
620480,28.16
621280,27.46
622096,26.92
622928,26.40
623744,26.92
624560,26.92
625356,27.59
626156,27.46
626976,26.79
627804,26.53
628620,26.92
629436,26.92
630232,27.59
631032,27.46
631832,27.46
632664,26.40
633496,26.40
634296,27.46
635088,27.73
635888,27.46
636704,26.92
637532,26.53
638352,26.79
639168,26.92
639964,27.59
640748,28.2
641564,26.92
642396,26.40
643212,26.92
644028,26.92
644824,27.59
645624,27.46
646424,27.46
647256,26.40
648092,26.27
648892,27.46
649688,27.59
650480,27.73
651296,26.92
652112,26.92
652948,26.27
653764,26.92
654544,28.16
655336,27.73
656152,26.92
656964,27.5
657796,26.40
658612,26.92
659400,27.87
660192,27.73
661008,26.92
661824,26.92
662656,26.40
663472,26.92
664260,27.87
665052,27.73
665868,26.92
666684,26.92
667516,26.40
668332,26.92
669120,27.87
669916,27.59
670732,26.92
671548,26.92
672380,26.40
673196,26.92
673984,27.87
674780,27.59
675600,26.79
676416,26.92
677248,26.40
678048,27.46
678852,27.32
679644,27.73
680444,27.46
681272,26.53
682092,26.79
682908,26.92
683692,28.2
684484,27.73
685300,26.92
686132,26.40
686952,26.79
687768,26.92
688552,28.2
689344,27.73
690160,26.92
690992,26.40
691812,26.79
692628,26.92
693412,28.2
694204,27.73
695012,27.18
695828,26.92
696660,26.40
697460,27.46
698260,27.46
699052,27.73
699844,27.73
700676,26.40
701492,26.92
702304,27.5
703088,28.2
703880,27.73
704688,27.18
705520,26.40
706336,26.92
707148,27.5
707936,27.87
708736,27.46
709548,27.5
710364,26.92
711196,26.40
711992,27.59
712796,27.32
713580,28.2
714392,27.5
715224,26.40
716040,26.92
716852,27.5
717636,28.2
718436,27.46
719248,27.5
720080,26.40
720896,26.92
721708,27.5
722492,28.2
723292,27.46
724104,27.5
724920,26.92
725752,26.40
726548,27.59
727352,27.32
728136,28.2
728944,27.18
729776,26.40
730592,26.92
731404,27.5
732188,28.2
732988,27.46
733796,27.18
734612,26.92
735444,26.40
736240,27.59
737044,27.32
737828,28.2
738640,27.5
739472,26.40
740288,26.92
741100,27.5
741888,27.87
742688,27.46
743500,27.5
744316,26.92
745148,26.40
745944,27.59
746748,27.32
747532,28.2
748344,27.5
749176,26.40
749992,26.92
750804,27.5
751588,28.2
752388,27.46
753196,27.18
754004,27.18
754836,26.40
755632,27.59
756420,27.87
757220,27.46
758032,27.5
758856,26.66
759672,26.92
760484,27.5
761272,27.87
762056,28.2
762868,27.5
763692,26.66
764508,26.92
765324,26.92
766112,27.87
766912,27.46
767724,27.5
768548,26.66
769364,26.92
770180,26.92
770968,27.87
771752,28.2
772564,27.5
773388,26.66
774204,26.92
775020,26.92
775808,27.87
776608,27.46
777424,26.92
778232,27.18
779064,26.40
779864,27.46
780668,27.32
781448,28.16
782264,26.92
783088,26.66
783904,26.92
784716,27.5
785504,27.87
786288,28.2
787104,26.92
787928,26.66
788744,26.92
789560,26.92
790348,27.87
791148,27.46
791964,26.92
792788,26.66
793604,26.92
794416,27.5
795204,27.87
795988,28.2
796804,26.92
797628,26.66
798444,26.92
799256,27.5
800044,27.87
800844,27.46
801644,27.46
802468,26.66
803284,26.92
804100,26.92
804888,27.87
805688,27.46
806488,27.46
807312,26.66
808128,26.92
808944,26.92
809732,27.87
810532,27.46
811332,27.46
812156,26.66
812988,26.40
813788,27.46
814576,27.87
815372,27.59
816172,27.46
817000,26.53
817836,26.27
818636,27.46
819420,28.2
820220,27.46
821024,27.32
821852,26.53
822684,26.40
823484,27.46
824268,28.2
825068,27.46
825868,27.46
826692,26.66
827524,26.40
828320,27.59
829108,27.87
829908,27.46
830708,27.46
831532,26.66
832348,26.92
833164,26.92
833952,27.87
834752,27.46
835552,27.46
836376,26.66
837208,26.40
838008,27.46
838796,27.87
839592,27.59
840392,27.46
841220,26.53
842056,26.27
842856,27.46
843656,27.46
844440,28.2
845260,26.79
846072,27.5
846904,26.40
847704,27.46
848504,27.46
849288,28.2
850104,26.92
850932,26.53
851744,27.5
852540,27.59
853344,27.32
854128,28.2
854944,26.92
855768,26.66
856580,27.5
857392,27.5
858176,28.2
858960,28.2
859776,26.92
860600,26.66
861412,27.5
862224,27.5
863008,28.2
863792,28.2
864608,26.92
865432,26.66
866244,27.5
867056,27.5
867844,27.87
868628,28.2
869444,26.92
870268,26.66
871080,27.5
871896,26.92
872684,27.87
873468,28.2
874284,26.92
875108,26.66
875920,27.5
876736,26.92
877524,27.87
878308,28.2
879124,26.92
879948,26.66
880756,27.18
881572,26.92
882360,27.87
883144,28.2
883964,26.79
884792,26.53
885604,27.5
886420,26.92
887204,28.2
888004,27.46
888804,27.46
889636,26.40
890448,27.5
891260,27.5
892048,27.87
892848,27.46
893648,27.46
894480,26.40
895292,27.5
896108,26.92
896896,27.87
897680,28.2
898496,26.92
899328,26.40
900140,27.5
900952,27.5
901740,27.87
902524,28.2
903340,26.92
904172,26.40
904984,27.5
905796,27.5
906584,27.87
907368,28.2
908184,26.92
909016,26.40
909828,27.5
910644,26.92
911432,27.87
912212,28.16
913028,26.92
913860,26.40
914672,27.5
915488,26.92
916276,27.87
917076,27.46
917876,27.46
918708,26.40
919520,27.5
920336,26.92
921124,27.87
921904,28.16
922720,26.92
923552,26.40
924364,27.5
925176,27.5
925964,27.87
926748,28.2
927564,26.92
928380,26.92
929208,26.53
930020,27.5
930808,27.87
931592,28.2
932408,26.92
933224,26.92
934052,26.53
934868,26.92
935656,27.87
936440,28.2
937256,26.92
938072,26.92
938900,26.53
939700,27.46
940504,27.32
941288,28.2
942104,26.92
942920,26.92
943748,26.53
944548,27.46
945336,27.87
946132,27.59
946932,27.46
947764,26.40
948572,27.18
949388,26.92
950172,28.2
950956,28.2
951772,26.92
952604,26.40
953416,27.5
954232,26.92
955016,28.2
955800,28.2
956620,26.79
957436,26.92
958264,26.53
959080,26.92
959864,28.2
960648,28.2
961464,26.92
962276,27.5
963104,26.53
963900,27.59
964704,27.32
965488,28.2
966304,26.92
967120,26.92
967948,26.53
968744,27.59
969532,27.87
970332,27.46
971132,27.46
971964,26.40
972776,27.5
973592,26.92
974380,27.87
975180,27.46
975980,27.46
976812,26.40
977624,27.5
978440,26.92
979228,27.87
980012,28.2
980828,26.92
981644,26.92
982472,26.53
983272,27.46
984076,27.32
984856,28.16
985672,26.92
986488,26.92
987316,26.53
988116,27.46
988904,27.87
989704,27.46
990504,27.46
991336,26.40
992144,27.18
992960,26.92
993748,27.87
994532,28.2
995352,26.79
996168,26.92
996996,26.53
997796,27.46
998596,27.46
999380,28.2
1000180,27.46
1001012,26.40
1001824,27.5
1002640,26.92
1003424,28.2
1004224,27.46
1005024,27.46
1005856,26.40
1006668,27.5
1007480,27.5
1008268,27.87
1009052,28.2
1009868,26.92
1010684,26.92
1011512,26.53
1012308,27.59
1013112,27.32
1013896,28.2
1014696,27.46
1015528,26.40
1016340,27.5
1017156,26.92
1017944,27.87
1018728,28.2
1019544,26.92
1020376,26.40
1021188,27.5
1022000,27.5
1022788,27.87
1023572,28.2
1024388,26.92
1025204,26.92
1026032,26.53
1026832,27.46
1027620,27.87
1028416,27.59
1029216,27.46
1030048,26.40
1030860,27.5
1031676,26.92
1032460,28.2
1033244,28.2
1034064,26.79
1034880,26.92
1035708,26.53
1036524,26.92
1037308,28.2
1038092,28.2
1038908,26.92
1039724,26.92
1040552,26.53
1041352,27.46
1042136,28.2
1042936,27.46
1043736,27.46
1044568,26.40
1045380,27.5
1046192,27.5
1046980,27.87
1047764,28.2
1048580,26.92
1049412,26.40
1050224,27.5
1051036,27.5
1051820,28.2
1052604,28.2
1053420,26.92
1054236,26.92
1055064,26.53
1055860,27.59
1056648,27.87
1057448,27.46
1058248,27.46
1059080,26.40
1059892,27.5
1060708,26.92
1061496,27.87
1062296,27.46
1063096,27.46
1063928,26.40
1064740,27.5
1065556,26.92
1066344,27.87
1067128,28.2
1067944,26.92
1068760,26.92
1069588,26.53
1070388,27.46
1071176,27.87
1071976,27.46
1072780,27.32
1073612,26.40
1074420,27.18
1075236,26.92
1076020,28.2
1076804,28.2
1077624,26.79
1078440,26.92
1079268,26.53
1080084,26.92
1080868,28.2
1081652,28.2
1082468,26.92
1083284,26.92
1084112,26.53
1084912,27.46
1085696,28.2
1086496,27.46
1087296,27.46
1088128,26.40
1088940,27.5
1089752,27.5
1090540,27.87
1091324,28.2
1092140,26.92
1092956,26.92
1093784,26.53
1094584,27.46
1095372,27.87
1096168,27.59
1096968,27.46
1097800,26.40
1098608,27.18
1099424,26.92
1100212,27.87
1100996,28.2
1101816,26.79
1102632,26.92
1103460,26.53
1104260,27.46
1105044,28.2
1105844,27.46
1106644,27.46
1107472,26.53
1108284,27.5
1109096,27.5
1109884,27.87
1110668,28.2
1111484,26.92
1112292,27.18
1113120,26.53
1113920,27.46
1114708,27.87
1115492,28.2
1116308,26.92
1117140,26.40
1117952,27.5
1118768,26.92
1119556,27.87
1120340,28.2
1121156,26.92
1121964,27.18
1122772,27.18
1123588,26.92
1124376,27.87
1125160,28.2
1125980,26.79
1126808,26.53
1127620,27.5
1128420,27.46
1129204,28.2
1130004,27.46
1130804,27.46
1131628,26.66
1132440,27.5
1133252,27.5
1134040,27.87
1134824,28.2
1135640,26.92
1136464,26.66
1137276,27.5
1138088,27.5
1138876,27.87
1139660,28.2
1140476,26.92
1141284,27.18
1142112,26.53
1142912,27.46
1143700,27.87
1144496,27.59
1145296,27.46
1146124,26.53
1146936,27.5
1147752,26.92
1148540,27.87
1149324,28.2
1150144,26.79
1150956,27.5
1151768,27.5
1152584,26.92
1153368,28.2
1154168,27.46
1154968,27.46
1155792,26.66
1156604,27.5
1157416,27.5
1158200,28.2
1158984,28.2
1159800,26.92
1160624,26.66
1161436,27.5
1162232,27.59
1163020,27.87
1163820,27.46
1164620,27.46
1165444,26.66
1166252,27.18
1167068,26.92
1167856,27.87
1168640,28.2
1169460,26.79
1170288,26.53
1171100,27.5
1171900,27.46
1172684,28.2
1173484,27.46
1174284,27.46
1175108,26.66
1175920,27.5
1176732,27.5
1177520,27.87
1178304,28.2
1179120,26.92
1179944,26.66
1180756,27.5
1181552,27.59
1182340,27.87
1183140,27.46
1183940,27.46
1184764,26.66
1185572,27.18
1186388,26.92
1187176,27.87
1187960,28.2
1188780,26.79
1189608,26.53
1190420,27.5
1191220,27.46
1192020,27.46
1192804,28.2
1193604,27.46
1194428,26.66
1195240,27.5
1196052,27.5
1196840,27.87
1197624,28.2
1198440,26.92
1199264,26.66
1200076,27.5
1200876,27.46
1201680,27.32
1202464,28.2
1203264,27.46
1204088,26.66
1204904,26.92
1205720,26.92
1206508,27.87
1207308,27.46
1208108,27.46
1208932,26.66
1209748,26.92
1210564,26.92
1211352,27.87
1212132,28.16
1212948,26.92
1213772,26.66
1214584,27.5
1215384,27.46
1216172,27.87
1216968,27.59
1217768,27.46
1218592,26.66
1219412,26.79
1220228,26.92
1221012,28.2
1221796,28.2
1222616,26.79
1223424,27.18
1224256,26.40
1225056,27.46
1225840,28.2
33596,1.30
43296,4.52
51740,5.20
59412,5.72
67056,5.74
74548,5.86
81708,6.13
89060,5.97
96368,6.1
103412,6.23
110688,6.3
117928,6.6
124948,6.25
132188,6.6
139428,6.6
146448,6.25
153704,6.5
160924,6.8
167928,6.27
175172,6.6
182412,6.6
189400,6.28
196660,6.5
203884,6.8
210888,6.27
218128,6.6
225368,6.6
232372,6.27
239596,6.8
246820,6.8
253824,6.27
261048,6.8
268268,6.8
275268,6.27
282496,6.7
289704,6.9
296688,6.29
303920,6.7
311112,6.10
318096,6.29
325296,6.10
332500,6.9
339464,6.30
346672,6.9
353860,6.11
360840,6.29
368036,6.10
375228,6.10
382232,6.27
389444,6.9
396652,6.9
403640,6.28
410880,6.6
418088,6.9
425076,6.28
432316,6.6
439520,6.9
446508,6.28
453716,6.9
460940,6.8
467928,6.28
475156,6.7
482380,6.8
489368,6.28
496576,6.9
503744,6.12
508420,9.39
512128,11.84
515404,13.41
518328,15.2
521148,15.58
523808,16.51
526252,17.97
528656,18.27
530972,18.97
533116,20.49
535260,20.49
537340,21.12
539308,22.32
541292,22.14
543228,22.69
545084,23.67
546956,23.47
548812,23.67
550604,24.51
552424,24.14
554232,24.30
555960,25.42
557740,24.68
559516,24.74
561224,25.72
562968,25.19
564712,25.19
566404,25.96
568132,25.42
569864,25.36
571548,26.9
573272,25.48
574988,25.60
576640,26.59
578364,25.48
580064,25.84
581716,26.59
583424,25.72
585116,25.96
586768,26.59
588464,25.90
590156,25.96
591808,26.59
593492,26.9
595184,25.96
596832,26.66
598516,26.9
600208,25.96
601844,26.85
603544,25.84
605220,26.21
606856,26.85
608552,25.90
610228,26.21
611860,26.92
613544,26.9
615236,25.96
616868,26.92
618552,26.9
620228,26.21
621864,26.85
623548,26.9
625224,26.21
626852,26.98
628532,26.15
630208,26.21
631836,26.98
633520,26.9
635196,26.21
636824,26.98
638508,26.9
640180,26.27
641808,26.98
643492,26.9
645172,26.15
646800,26.98
648484,26.9
650152,26.34
651780,26.98
653464,26.9
655148,26.9
656780,26.92
658464,26.9
660148,26.9
661776,26.98
663460,26.9
665140,26.15
666752,27.25
668432,26.15
670116,26.9
671744,26.98
673428,26.9
675112,26.9
676728,27.18
678412,26.9
680092,26.15
681720,26.98
683400,26.15
685068,26.34
686696,26.98
688380,26.9
690064,26.9
691696,26.92
693380,26.9
695048,26.34
696676,26.98
698360,26.9
700040,26.15
701652,27.25
703332,26.15
705016,26.9
706644,26.98
708312,26.34
709996,26.9
711624,26.98
713308,26.9
714972,26.40
716600,26.98
718280,26.15
719948,26.34
721576,26.98
723260,26.9
724928,26.34
726560,26.92
728244,26.9
729912,26.34
731540,26.98
733224,26.9
734888,26.40
736516,26.98
738200,26.9
739864,26.40
741492,26.98
743172,26.15
744836,26.40
746464,26.98
748144,26.15
749812,26.34
751440,26.98
753124,26.9
754792,26.34
756424,26.92
758092,26.34
759772,26.15
761400,26.98
763064,26.40
764744,26.15
766356,27.25
768040,26.9
769724,26.9
771336,27.25
773020,26.9
774704,26.9
776316,27.25
778000,26.9
779664,26.40
781292,26.98
782972,26.15
784636,26.40
786264,26.98
787928,26.40
789612,26.9
791224,27.25
792908,26.9
794584,26.21
796196,27.25
797880,26.9
799556,26.21
801168,27.25
802848,26.15
804508,26.46
806124,27.18
807808,26.9
809484,26.21
811096,27.25
812776,26.15
814452,26.21
816064,27.25
817748,26.9
819408,26.46
821036,26.98
822704,26.34
824380,26.21
826000,27.12
827680,26.15
829356,26.21
830976,27.12
832660,26.9
834320,26.46
835956,26.85
837620,26.40
839296,26.21
840916,27.12
842600,26.9
844276,26.21
845896,27.12
847580,26.9
849252,26.27
850872,27.12
852540,26.34
854216,26.21
855836,27.12
857516,26.15
859192,26.21
860812,27.12
862496,26.9
864172,26.21
865792,27.12
867460,26.34
869136,26.21
870756,27.12
872436,26.15
874112,26.21
875732,27.12
877416,26.9
879076,26.46
880696,27.12
882380,26.9
884056,26.21
885676,27.12
887340,26.40
889016,26.21
890632,27.18
892316,26.9
893992,26.21
895612,27.12
897280,26.34
898956,26.21
900576,27.12
902256,26.15
903932,26.21
905548,27.18
907216,26.34
908892,26.21
910512,27.12
912196,26.9
913856,26.46
915492,26.85
917160,26.34
918836,26.21
920456,27.12
922124,26.34
923800,26.21
925420,27.12
927100,26.15
928760,26.46
930380,27.12
932064,26.9
933740,26.21
935360,27.12
937028,26.34
938704,26.21
940324,27.12
942004,26.15
943664,26.46
945284,27.12
946968,26.9
948644,26.21
950264,27.12
951944,26.15
953604,26.46
955224,27.12
956900,26.21
958560,26.46
960180,27.12
961856,26.21
963532,26.21
965152,27.12
966828,26.21
968488,26.46
970108,27.12
971784,26.21
973444,26.46
975064,27.12
976740,26.21
978424,26.9
980044,27.12
981720,26.21
983384,26.40
985000,27.18
986676,26.21
988340,26.40
989960,27.12
991640,26.15
993308,26.34
994944,26.85
996604,26.46
998284,26.15
999904,27.12
1001580,26.21
1003248,26.34
1004868,27.12
1006548,26.15
1008216,26.34
1009832,27.18
1011508,26.21
1013172,26.40
1014792,27.12
1016468,26.21
1018152,26.9
1019772,27.12
1021448,26.21
1023116,26.34
1024736,27.12
1026412,26.21
1028076,26.40
1029692,27.18
1031368,26.21
1033032,26.40
1034652,27.12
1036332,26.15
1038000,26.34
1039620,27.12
1041296,26.21
1042960,26.40
1044580,27.12
1046256,26.21
1047940,26.9
1049560,27.12
1051236,26.21
1052904,26.34
1054520,27.18
1056196,26.21
1057860,26.40
1059496,26.85
1061160,26.40
1062828,26.34
1064460,26.92
1066136,26.21
1067800,26.40
1069412,27.25
1071088,26.21
1072752,26.40
1074380,26.98
1076040,26.46
1077724,26.9
1079340,27.18
1081016,26.21
1082684,26.34
1084296,27.25
1085976,26.15
1087644,26.34
1089272,26.98
1090956,26.9
1092624,26.34
1094240,27.18
1095924,26.9
1097588,26.40
1099216,26.98
1100896,26.15
1102560,26.40
1104172,27.25
1105856,26.9
1107524,26.34
1109152,26.98
1110820,26.34
1112504,26.9
1114120,27.18
1115804,26.9
1117468,26.40
1119096,26.98
1120780,26.9
1122444,26.40
1124056,27.25
1125736,26.15
1127404,26.34
1129032,26.98
1130716,26.9
1132384,26.34
1134000,27.18
1135684,26.9
1137348,26.40
1138976,26.98
1140656,26.15
1142320,26.40
1143948,26.98
1145612,26.40
1147292,26.15
1148904,27.25
1150588,26.9
1152256,26.34
1153888,26.92
1155556,26.34
1157236,26.15
1158848,27.25
1160528,26.15
1162192,26.40
1163820,26.98
1165488,26.34
1167172,26.9
1168784,27.25
1170468,26.9
1172136,26.34
1173764,26.98
1175448,26.9
1177112,26.40
1178740,26.98
1180404,26.40
1182084,26.15
1183696,27.25
1185376,26.15
1187044,26.34
1188672,26.98
1190340,26.34
1192024,26.9
1193640,27.18
1195324,26.9
1196988,26.40
1198616,26.98
1200296,26.15
1201960,26.40
1203572,27.25
1205256,26.9
1206924,26.34
1208556,26.92
1210240,26.9
1211908,26.34
1213524,27.18
1215208,26.9
1216872,26.40
1218500,26.98
1220180,26.15
1221848,26.34
1223476,26.98
1225144,26.34
1226812,26.34
1228444,26.92
1230128,26.9
1231796,26.34
1233424,26.98
1235092,26.34
1236772,26.15
1238384,27.25
1240064,26.15
1241724,26.46
1243356,26.92
1245024,26.34
1246700,26.21
1248312,27.25
1249992,26.15
1251652,26.46
1253280,26.98
1254948,26.34
1256624,26.21
1258240,27.18
1259924,26.9
1261584,26.46
1263220,26.85
1264884,26.40
1266560,26.21
1268176,27.18
1269860,26.9
1271536,26.21
1273156,27.12
1274824,26.34
1276500,26.21
1278120,27.12
1279800,26.15
1281476,26.21
1283092,27.18
1284760,26.34
1286436,26.21
1288056,27.12
1289740,26.9
1291416,26.21
1293036,27.12
1294716,26.15
1296376,26.46
1297996,27.12
1299680,26.9
1301352,26.27
1302972,27.12
1304656,26.9
1306316,26.46
1307936,27.12
1309616,26.15
1311292,26.21
1312912,27.12
1314596,26.9
1316256,26.46
1317876,27.12
1319560,26.9
1321236,26.21
1322856,27.12
1324536,26.15
1326196,26.46
1327816,27.12
1329500,26.9
1331176,26.21
1332796,27.12
1334464,26.34
1336140,26.21
1337760,27.12
1339444,26.9
1341120,26.21
1342740,27.12
1344408,26.34
1346084,26.21
1347704,27.12
1349384,26.15
1351060,26.21
1352680,27.12
1354348,26.34
1356024,26.21
1357644,27.12
1359328,26.9
1360988,26.46
1362608,27.12
1364288,26.15
1365964,26.21
1367580,27.18
1369248,26.34
1370924,26.21
1372544,27.12
1374224,26.15
1375884,26.46
1377500,27.18
1379184,26.9
1380860,26.21
1382480,27.12
1384164,26.9
1385824,26.46
1387444,27.12
1389120,26.21
1390780,26.46
1392400,27.12
1394076,26.21
1395752,26.21
1397372,27.12
1399048,26.21
1400708,26.46
1402328,27.12
1404004,26.21
1405668,26.40
1407288,27.12
1408964,26.21
1410644,26.15
1412264,27.12
1413940,26.21
1415608,26.34
1417228,27.12
1418904,26.21
1420568,26.40
1422188,27.12
1423864,26.21
1425544,26.15
1427164,27.12
1428840,26.21
1430508,26.34
1432128,27.12
1433804,26.21
1435468,26.40
1437088,27.12
1438764,26.21
1440428,26.40
1442064,26.85
1443740,26.21
1445408,26.34
1447028,27.12
1448704,26.21
1450368,26.40
1451988,27.12
1453664,26.21
1455344,26.15
1456964,27.12
1458640,26.21
1460308,26.34
1461928,27.12
1463604,26.21
1465268,26.40
1466888,27.12
1468564,26.21
1470228,26.40
1471864,26.85
1473540,26.21
1475208,26.34
1476828,27.12
1478504,26.21
1480168,26.40
1481784,27.18
1483460,26.21
1485124,26.40
1486744,27.12
1488420,26.21
1490088,26.34
1491724,26.85
1493400,26.21
1495064,26.40
1496680,27.18
1498356,26.21
1500020,26.40
1501632,27.25
1503312,26.15
1504980,26.34
1506612,26.92
1508272,26.46
1509936,26.40
1511564,26.98
1513224,26.46
1514888,26.40
1516516,26.98
1518176,26.46
1519860,26.9
1521472,27.25
1523156,26.9
1524824,26.34
1526440,27.18
1528124,26.9
1529788,26.40
1531400,27.25
1533080,26.15
1534744,26.40
1536356,27.25
1538040,26.9
1539708,26.34
1541324,27.18
1543008,26.9
1544672,26.40
1546300,26.98
1547968,26.34
1549632,26.40
1551260,26.98
1552924,26.40
1554604,26.15
1556216,27.25
1557900,26.9
1559568,26.34
1561184,27.18
1562868,26.9
1564532,26.40
1566160,26.98
1567828,26.34
1569492,26.40
1571120,26.98
1572800,26.15
1574464,26.40
1576076,27.25
1577756,26.15
1579424,26.34
1581036,27.25
1582720,26.9
1584388,26.34
1586020,26.92
1587688,26.34
1589368,26.15
1590980,27.25
1592660,26.15
1594328,26.34
1595940,27.25
1597624,26.9
1599292,26.34
1600904,27.25
1602588,26.9
1604252,26.40
1605880,26.98
1607544,26.40
1609224,26.15
1610836,27.25
1612520,26.9
1614188,26.34
1615804,27.18
1617488,26.9
1619168,26.15
1620780,27.25
1622444,26.40
1624124,26.15
1625736,27.25
1627420,26.9
1629080,26.46
1630692,27.25
1632376,26.9
1634048,26.27
1635660,27.25
1637324,26.40
1639000,26.21
1640612,27.25
1642296,26.9
1643972,26.21
1645588,27.18
1647272,26.9
1648932,26.46
1650552,27.12
1652232,26.15
1653908,26.21
1655524,27.18
1657192,26.34
1658868,26.21
1660488,27.12
1662172,26.9
1663848,26.21
1665468,27.12
1667132,26.40
1668808,26.21
1670424,27.18
1672108,26.9
1673768,26.46
1675388,27.12
1677068,26.15
1678744,26.21
1680364,27.12
1682028,26.40
1683704,26.21
1685320,27.18
1687004,26.9
1688664,26.46
1690284,27.12
1691964,26.15
1693640,26.21
1695260,27.12
1696924,26.40
1698600,26.21
1700216,27.18
1701900,26.9
1703560,26.46
1705180,27.12
1706860,26.15
1708520,26.46
1710136,27.18
1711820,26.9
1713496,26.21
1715116,27.12
1716784,26.34
1718460,26.21
1720080,27.12
1721760,26.15
1723420,26.46
1725040,27.12
1726724,26.9
1728384,26.46
1730004,27.12
1731684,26.15
1733360,26.21
1734980,27.12
1736644,26.40
1738320,26.21
1739940,27.12
1741624,26.9
1743284,26.46
1744904,27.12
1746580,26.21
1748240,26.46
1749872,26.92
1751532,26.46
1753208,26.21
1754828,27.12
1756504,26.21
1758164,26.46
1759784,27.12
1761460,26.21
1763120,26.46
1764736,27.18
1766412,26.21
1768076,26.40
1769696,27.12
1771376,26.15
1773044,26.34
1774680,26.85
1776340,26.46
1778020,26.15
1779640,27.12
1781316,26.21
1782980,26.40
1784600,27.12
1786276,26.21
1787944,26.34
1789564,27.12
1791240,26.21
1792908,26.34
1794524,27.18
1796200,26.21
1797864,26.40
1799484,27.12
1801160,26.21
1802828,26.34
1804448,27.12
1806124,26.21
1807792,26.34
1809408,27.18
1811084,26.21
1812748,26.40
1814368,27.12
1816048,26.15
1817716,26.34
1819336,27.12
1821012,26.21
1822676,26.40
1824296,27.12
1825972,26.21
1827640,26.34
1829260,27.12
1830936,26.21
1832604,26.34
1834220,27.18
1835896,26.21
1837560,26.40
1839196,26.85
1840856,26.46
1842524,26.34
1844152,26.98
1845812,26.46
1847492,26.15
1849104,27.25
1850768,26.40
1852452,26.9
1854068,27.18
1855744,26.21
1857412,26.34
1859024,27.25
1860704,26.15
1862368,26.40
1863980,27.25
1865660,26.15
1867328,26.34
1868944,27.18
1870628,26.9
1872296,26.34
